name,price,originalPrice,brandName,image,itemUrl
Sugar Free Gold Tablets - 300 Pellets,336,No Original Price,No Brand,https://static-01.daraz.com.np/p/00455e5827892897779e056e5a3d5f76.jpg,https://www.daraz.com.np/products/sugar-free-gold-tablets-300-pellets-i113207659.html
Uttam Sulphurfree Sugar - 1kg - Pack Of 5,1030,1100,No Brand,https://np-live-21.slatic.net/kf/S0e51095693b94fb4a80a7db3353ea5476.jpg,https://www.daraz.com.np/products/uttam-sulphurfree-sugar-1kg-pack-of-5-i128527242.html
Kirana Crystal  Mishri (Cutting Mishri) 200g,55,No Original Price,No Brand,https://static-01.daraz.com.np/p/eb37e13b8df2c99fabd84cf1dfc68e78.jpg,https://www.daraz.com.np/products/kirana-crystal-mishri-cutting-mishri-200g-i129048264.html
Sugar Big Size 2 kg Pure and Clean,285,No Original Price,No Brand,https://static-01.daraz.com.np/p/186b0931670030370bc0196e201c9c51.jpg,https://www.daraz.com.np/products/sugar-big-size-2-kg-pure-and-clean-i129250299.html
Crystalized Sugar - 500 Gm,200,No Original Price,No Brand,https://static-01.daraz.com.np/p/384c320661d81bfde826b38cfed3770a.jpg,https://www.daraz.com.np/products/crystalized-sugar-500-gm-i103159765.html
Kirana Crystal  Mishri (Cutting Mishri) 100g,30,No Original Price,No Brand,https://static-01.daraz.com.np/p/eb37e13b8df2c99fabd84cf1dfc68e78.jpg,https://www.daraz.com.np/products/kirana-crystal-mishri-cutting-mishri-100g-i129050157.html
Kirana Crystal  Mishri (Cutting Mishri) 1kg,215,No Original Price,No Brand,https://static-01.daraz.com.np/p/eb37e13b8df2c99fabd84cf1dfc68e78.jpg,https://www.daraz.com.np/products/kirana-crystal-mishri-cutting-mishri-1kg-i129048267.html
Patanjali Bura Sugar 1kg + Patanjali Madhuram Sugar (Jaggery Powder) 1kg Combo,599,No Original Price,No Brand,https://static-01.daraz.com.np/p/f8fb73815368d87148e735788963110b.png,https://www.daraz.com.np/products/patanjali-bura-sugar-1kg-patanjali-madhuram-sugar-jaggery-powder-1kg-combo-i132111463.html
Hajmola Anardana 120tablets,85,No Original Price,No Brand,https://static-01.daraz.com.np/p/131a1fb802acf6490f81dcf7c345ef09.jpg,https://www.daraz.com.np/products/hajmola-anardana-120tablets-i130130316.html
Stevia Dry Leaf (Cheni Patta) 60 Grm.,360,No Original Price,No Brand,https://np-live-21.slatic.net/kf/S6324b41f13e342ba89d8839e6bda41d8s.jpg,https://www.daraz.com.np/products/stevia-dry-leaf-cheni-patta-60-grm-i163679210.html
Uttam Sulphurfree Sugar - 1kg,250,275,No Brand,https://np-live-21.slatic.net/kf/S215ded99770445b89fa852269ba8a1d8G.jpg,https://www.daraz.com.np/products/uttam-sulphurfree-sugar-1kg-i128512789.html
Laxoft Sf(Sugar Free)-100gm,290,No Original Price,No Brand,https://static-01.daraz.com.np/p/8056651d1c18a109cb89ce894d8eed09.jpg,https://www.daraz.com.np/products/laxoft-sfsugar-free-100gm-i128216365.html
Jaggery (Gur) Chyavanprash 750grm,780,No Original Price,No Brand,https://static-01.daraz.com.np/p/1f1d210d5d3ff39ec50e7b3064e3d4ac.png,https://www.daraz.com.np/products/jaggery-gur-chyavanprash-750grm-i131399724.html
