name,price,originalPrice,image
Earthy Roots Pink Grinder 100g,199,No Original Price,https://static-01.daraz.com.np/p/0176ef699ba1ca94676aff96c6910fd0.jpg
Retro Glass Salt and Pepper Shakers (Set of 2),288,299,https://static-01.daraz.com.np/p/c7cfa3687876a116c68b2a9a9ea110b6.jpg
Ceramic Easter Egg Shaped Spices Salt/Pepper Shaker Seasoning Kitchen Decorative Dispensers (Brown & White Eggs),425,No Original Price,https://static-01.daraz.com.np/p/f7f8c25e6ba9efb0eded2bdeb525b130.jpg
Stainless Steel Salt N Pepper set /Cruet set,196,No Original Price,https://static-01.daraz.com.np/p/91f935ac0752004aacc5afb77bda2b92.jpg
Stainless Steel Salt Pepper Shaker (Set Of 2),250,499,https://static-01.daraz.com.np/p/32b11d7954c91b3e622ce13c871e1b51.jpg
High Grade Heavy Duty Wooden Manual Salt Pepper Grinder Crusher Mill Shakers with Ceramic Rotor for Home & Kitchen Medium ( 7-inch),1199,No Original Price,https://static-01.daraz.com.np/p/2663367399034497789a57b416495bd3.jpg
Portable Wooden Salt & Pepper Crusher Mill Eco-Friendly Spice Grinder Set with Ceramic Core 20cm 23cm 26cm,800,900,https://np-live-21.slatic.net/kf/S2b1de1329b0043809bf9d9a29701c0baJ.jpg
Wood Pepper Grinder (14.5 cm)-1 Pc,689,699,https://static-01.daraz.com.np/p/b78b50f70ed07b8ee42e8971c74142f3.jpg
Classic Home Grease Can/Salt And Pepper Shaker,160,200,https://static-01.daraz.com.np/p/ae8ea6949e3692238e434d7d4dc7250c.jpg
Pasabahce Salt & Pepper , Basic 35 Ml, Pack of 2,270,No Original Price,https://static-01.daraz.com.np/p/82da661a9bc521c9d2dc9c7215e84ad0.jpg
Classic Home Grease Can/Salt And Pepper Shaker,160,200,https://static-01.daraz.com.np/p/5b968c12e22c0897c67c189b184abda0.jpg
Signoraware Tik Tok Spice Shaker 75ml Each (2pcs),468,656,https://static-01.daraz.com.np/p/d930d5157ff9b9452f16889ec92e3a96.jpg
Pepper Grinder, Premium Stainless Steel Manual Spice Mills with Glass Body, Best Spice Grinder for Barbecue Or Dinner,299,499,https://np-live-21.slatic.net/kf/Sd824ad238e4c4135a5eee31448075ee1A.jpg
Professional Stainless Steel Salt and Pepper Grinder with Adjustable Coarseness with,300,No Original Price,https://static-01.daraz.com.np/p/25861be67cf08fa91ce03d2f02baa70e.jpg
